,Unnamed: 0,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
53,53,Lexus,2007.898534697263,Nigerian Used,182533.65556660038,3274.9765625,Petrol,Automatic,"9,000,000",SUV
54,54,Lexus,2016.0,Nigerian Used,107355.0,5700.0,Petrol,Automatic,"42,000,000",SUV
55,55,Toyota,2009.0,Nigerian Used,134232.0,2400.0,Petrol,Manual,"4,725,000",SUV
56,56,Mercedes-Benz,2007.898534697263,Nigerian Used,147895.0,3274.9765625,Petrol,Automatic,"4,490,000",SUV
57,57,Mercedes-Benz,2007.0,Foreign Used,209466.0,4700.0,Petrol,Automatic,"4,515,000",SUV
58,58,Mercedes-Benz,2007.898534697263,Nigerian Used,156155.0,3274.9765625,Petrol,Automatic,"6,730,000",SUV
59,59,Mercedes-Benz,2017.0,Nigerian Used,31079.0,3000.0,Petrol,Automatic,"41,600,000",SUV
60,60,Mercedes-Benz,2007.898534697263,Nigerian Used,34590.0,3274.9765625,Petrol,Automatic,"5,834,000",SUV
61,61,Mercedes-Benz,2007.898534697263,Nigerian Used,81907.0,3274.9765625,Petrol,Automatic,"3,146,000",SUV
62,62,Lexus,2010.0,Foreign Used,135819.0,3500.0,Petrol,Automatic,"8,610,000",SUV
63,63,Mercedes-Benz,2007.898534697263,Nigerian Used,95702.0,3274.9765625,Petrol,Manual,"3,706,000",SUV
64,64,Mercedes-Benz,2015.0,Nigerian Used,120785.0,4500.0,Petrol,Automatic,"18,720,000",SUV
65,65,Lexus,2006.0,Nigerian Used,156704.0,3300.0,Petrol,Automatic,"3,640,000",SUV
66,66,Toyota,2013.0,Foreign Used,143701.0,1800.0,Petrol,Automatic,"10,400,000",SUV
67,67,Lexus,2008.0,Nigerian Used,162262.0,4700.0,Petrol,Automatic,"4,725,000",SUV
68,68,Land Rover,2007.898534697263,Nigerian Used,179633.0,3274.9765625,Petrol,Automatic,"5,050,000",SUV
69,69,Mercedes-Benz,2007.898534697263,Nigerian Used,59295.0,3274.9765625,Petrol,Automatic,"5,610,000",SUV
70,70,Land Rover,2011.0,Nigerian Used,132352.0,5000.0,Petrol,Automatic,"5,250,000",SUV
71,71,Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic,"6,825,000",SUV
72,72,Lexus,2007.0,Foreign Used,203492.0,3500.0,Petrol,Automatic,"4,410,000",SUV
73,73,Lexus,2014.0,Foreign Used,72352.0,3500.0,Petrol,Automatic,"9,240,000",SUV
74,74,Mercedes-Benz,2007.898534697263,Nigerian Used,13123.0,3274.9765625,Petrol,Automatic,"39,210,000",SUV
75,75,Lexus,2007.898534697263,Nigerian Used,63086.0,3274.9765625,Petrol,Automatic,"7,850,000",SUV
76,76,Fiat,2007.898534697263,Nigerian Used,174.0,3274.9765625,Petrol,Manual,"11,700,000",SUV
77,77,Lexus,2015.0,Foreign Used,228013.0,3500.0,Petrol,Automatic,"15,600,000",SUV
78,78,Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic,"6,090,000",SUV
79,79,Toyota,2015.0,Foreign Used,79277.0,4000.0,Petrol,Automatic,"17,680,000",SUV
80,80,Lexus,2015.0,Nigerian Used,88745.0,3500.0,Petrol,Automatic,"9,450,000",SUV
81,81,Fiat,2000.0,Foreign Used,286241.0,24000.0,Diesel,Manual,"3,675,000",SUV
82,82,Toyota,2010.0,Foreign Used,158017.0,3500.0,Petrol,Automatic,"6,825,000",SUV
83,83,Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic,"8,820,000",SUV
84,84,Lexus,2004.0,Foreign Used,250650.0,3500.0,Petrol,Automatic,"6,032,000",SUV
85,85,Mercedes-Benz,2006.0,Nigerian Used,243975.0,3500.0,Petrol,Automatic,"3,360,000",SUV
86,86,Lexus,2013.0,Foreign Used,192175.0,3500.0,Petrol,Automatic,"9,880,000",SUV
87,87,Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic,"36,750,000",SUV
88,88,Lexus,2014.0,Foreign Used,77859.0,3500.0,Petrol,Automatic,"10,400,000",SUV
89,89,Mercedes-Benz,2012.0,Foreign Used,173337.0,3500.0,Petrol,Automatic,"11,025,000",SUV
90,90,Lexus,2007.898534697263,Nigerian Used,63086.0,3274.9765625,Petrol,Automatic,"7,850,000",SUV
91,91,Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic,"15,600,000",SUV
92,92,Lexus,2007.0,Foreign Used,141782.0,4600.0,Petrol,Automatic,"4,368,000",SUV
